category,subcategory,name,price,veg_status,tags,description,restaurant_name
Unknown Category,,Pad Thai Veg,425,Veg,,Stir-fried pad thai noodles with beans sprouts & peanuts.,Cafe Delhi Heights
Unknown Category,,Pad Thai Chicken,495,Non-Veg,,Stir fried pad thai noodle with beans sprout,Cafe Delhi Heights
Unknown Category,,Pad Thai Prawn,550,Non-Veg,,Stir-fried pad thai noodles with beans sprouts & peanuts.,Cafe Delhi Heights
Unknown Category,,Gyros Veg,275,Veg,,Grilled vegetable served in a wrap,Cafe Delhi Heights
Unknown Category,,Gyros Chicken,325,Non-Veg,,Grilled vegetables or chicken served in a wrap with tzatziki sauce.,Cafe Delhi Heights
Unknown Category,,Jerk Chicken,400,Non-Veg,,Spicy grilled jerk chicken with bold Caribbean spices. Served with seasoned sides.,Cafe Delhi Heights
Unknown Category,,Ramen Veg,325,Veg,,,Cafe Delhi Heights
Unknown Category,,Ramen Chicken,395,Non-Veg,,,Cafe Delhi Heights
Unknown Category,,Poutine,315,Veg,,Golden fries topped with cheese curds and hot savory gravy a Canadian classic.,Cafe Delhi Heights
Unknown Category,,Empanadas Veg,325,Veg,,Latin American. Pastry turnovers filled with a variety of ingredients such as cheese and vegetable.,Cafe Delhi Heights
Unknown Category,,Empanadas Chicken,415,Non-Veg,,,Cafe Delhi Heights
Unknown Category,,Shawarma Veg,345,Veg,,,Cafe Delhi Heights
Unknown Category,,Shawarma Chicken,395,Non-Veg,,,Cafe Delhi Heights
Unknown Category,,Pelmeni,315,Non-Veg,,Traditional Russian dumplings filled with meat. Served with sour cream.,Cafe Delhi Heights
Unknown Category,,Churros,285,Veg,,Golden fried churros dusted with cinnamon sugar. Served with chocolate sauce.,Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Corn Spinach Lasagna,560,Veg,,"Layered lasagna with sweet corn, spinach, and a cheesy blend.",Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Corn Spinach Cannelloni,560,Veg,,Cannelloni filled with a creamy mixture of corn and spinach.,Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Pasta Alla Rosa,575,Veg,BESTSELLER,A creamy pink sauce pasta with a rich blend of tomato and cheese.,Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Multi Mushroom Stroganof,575,Veg,,"A rich and creamy mushroom delight, cooked to perfection.",Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Veg Whole Wheat Pasta,605,Veg,,Healthy whole wheat pasta; with your choice of the sauce.,Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Aglio e Olio Peperoncino,615,Veg,,"A light yet flavorful pasta tossed in extra virgin olive oil, garlic, cherry tomatoes, and dried red chilies.",Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Pasta Primavera Al Pesto,615,Veg,,"A vibrant blend of spring vegetables, roasted garlic, and creamy pesto jus.",Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Arrabbiata Pasta,615,Veg,,"Spicy tomato sauce pasta with cheese and olives, bringing bold Italian flavors.",Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Spinach And Ricotta Cheese Ravioli,620,Veg,,"Soft ravioli filled with creamy spinach and ricotta cheese, topped with a delicate sauce.",Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Spinach Risotto With Sauteed Mushroom,625,Veg,,A creamy risotto with a delicate blend of spinach and saut,Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Baked Cheese Risotto With Vegetables & Cherry Tomato,625,Veg,,Creamy cheese risotto baked with fresh vegetables and cherry tomatoes.,Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Alfredo Pasta,650,Veg,BESTSELLER,"A smooth and rich white sauce pasta with mushrooms, cheese, cream, and butter.",Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Chicken & Herby Carrot Risotto,650,Non-Veg,,A comforting risotto with tender chicken and herby carrot flavors.,Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Herby Chicken Lasagna,680,Non-Veg,,Hearty lasagna filled with seasoned chicken and herbs.,Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Chicken Whole Wheat Pasta,680,Non-Veg,,Healthy whole wheat pasta; with your choice of the sauce.,Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Herby Chicken Cannelloni,680,Non-Veg,,Tender cannelloni stuffed with smoked chicken and fresh herbs.,Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Bolognese Pasta,690,Non-Veg,,Minced mutton tossed in a rich Bolognese sauce with bacon.,Cafe Delhi Heights
Unknown Category,(PASTA & RISOTTO),Pasta Carbonara,710,Non-Veg,,"A hearty pasta with sticky bacon, eggs, and cheese, cooked to perfection.",Cafe Delhi Heights
Unknown Category,PIZZA,Margherita Pizza,570,Veg,,"[11 inch] Classic pizza topped with fresh tomatoes sauce , mozzarella, and basil.",Cafe Delhi Heights
Unknown Category,PIZZA,"Grilled Mushroom, Spinach & Onions Pizza",620,Veg,,"[11 inch] A vegetarian delight with grilled mushrooms, spinach, and onions on a cheese base.",Cafe Delhi Heights
Unknown Category,PIZZA,Pizza Al Greco,660,Veg,,"[11 inch] Mediterranean-inspired pizza with sun-dried tomatoes, olives, bell peppers, onions, and feta cheese.",Cafe Delhi Heights
Unknown Category,PIZZA,Pizza Alla Casalinga,660,Non-Veg,,"[11 inch] Buffalo mozzarella with oregano, basil, green peppers, and grilled chicken strips.",Cafe Delhi Heights
Unknown Category,PIZZA,Chicken Tikka Masala Pizza,670,Non-Veg,,[11 inch] Fusion pizza with a classic chicken tikka masala twist and tomatoes.,Cafe Delhi Heights
Unknown Category,PIZZA,Scamorza Pizza,680,Non-Veg,,"[11 inch] Smoky chicken and cheese topped pizza, delivering bold flavors in every bite.",Cafe Delhi Heights
Unknown Category,PIZZA,Pizza Al Bella,710,Veg,,"[11 inch] Bocconcini, fresh basil, sun-dried tomatoes, black olives, and green onions, all baked to perfection.",Cafe Delhi Heights
Unknown Category,PIZZA,Pepperoni Pizza,735,Non-Veg,,"[11 inch] Tangy tomato sauce, melted mozzarella, and pork pepperoni.",Cafe Delhi Heights
Unknown Category,WRAPS & ROLLS,Paneer Tikka Kathi Roll,405,Veg,BESTSELLER,"Soft kathi roll filled with smoky paneer tikka, served with mint chutney and onion jam.",Cafe Delhi Heights
Unknown Category,WRAPS & ROLLS,Chicken Tikka Kathi Roll,440,Non-Veg,,"Juicy chicken tikka wrapped in a kathi roll, accompanied by mint chutney and onion jam.",Cafe Delhi Heights
Unknown Category,WRAPS & ROLLS,Pesto Chicken & Rocket Wrap,575,Non-Veg,,"Britsh chicken mixed with basil, nut pesto, peppery rockets & tomatoes, finished with mayo & lemon juice, wrapped in tortilla bread.",Cafe Delhi Heights
Unknown Category,GOURMET SNACKS,Plain Garlic Bread,240,Veg,,"Freshly baked bread slices topped with a generous spread of garlic butter, baked until golden.",Cafe Delhi Heights
Unknown Category,GOURMET SNACKS,Basket Of Fries,320,Veg,,"A generous basket of golden, crispy fries, perfect for sharing or enjoying alone.",Cafe Delhi Heights
Unknown Category,GOURMET SNACKS,Potato Wedges,350,Veg,,"Crispy on the outside and soft on the inside, these seasoned potato wedges are a perfect snack.",Cafe Delhi Heights
Unknown Category,GOURMET SNACKS,Cheese Garlic Bread,410,Veg,BESTSELLER,Classic garlic bread topped with a melted layer of cheese for an extra indulgent bite.,Cafe Delhi Heights
Unknown Category,GOURMET SNACKS,Veg Delicious Quesadillas,660,Veg,,"Toasted flour tortillas filled with a melted cheese blend, bringing you the taste of Mexico.",Cafe Delhi Heights
Unknown Category,GOURMET SNACKS,Chicken Delicious Quesadillas,780,Non-Veg,,Succulent chicken slices enveloped in melted cheese inside a toasted flour tortilla.,Cafe Delhi Heights
Unknown Category,GOURMET SNACKS,Fish N Chips,790,Non-Veg,,Crispy fish served with tartare sauce and home fries.,Cafe Delhi Heights
Unknown Category,DELHI 6 (STREET BITES),Pani Puri Shots,270,Veg,,"Crispy puris filled with spicy and tangy jaljeera water, a burst of flavor in every shot.",Cafe Delhi Heights
Unknown Category,DELHI 6 (STREET BITES),Tiptop Market Style Palak Patta Chaat,320,Veg,,"Crispy spinach leaves topped with tangy yogurt, chutney, and crunchy sev.",Cafe Delhi Heights
Unknown Category,DELHI 6 (STREET BITES),Mumbai Vada Pav,325,Veg,,A classic Mumbai street food twist on a spiced potato patty sandwiched in soft pao bread.,Cafe Delhi Heights
Unknown Category,DELHI 6 (STREET BITES),Aloo Tikki Chaat,330,Veg,,Crispy potato patties drenched in chilled yogurt and tangy tamarind chutney.,Cafe Delhi Heights
Unknown Category,DELHI 6 (STREET BITES),Chidwa Poha,330,Veg,,Light and healthy flattened rice with a blend of Indian spices and peanuts.,Cafe Delhi Heights
Unknown Category,DELHI 6 (STREET BITES),Bombay Masala Sandwich,330,Veg,,Traditional Mumbai-style sandwich served with crispy home fries.,Cafe Delhi Heights
Unknown Category,DELHI 6 (STREET BITES),Chilli Cheese Toast,360,Veg,,"Crispy toast topped with a generous layer of spicy cheese blend, toasted to golden perfection.",Cafe Delhi Heights
Unknown Category,DELHI 6 (STREET BITES),Isbt Makhani Maggi,390,Veg,BESTSELLER,"Maggi noodles with a rich, creamy butter masala twist, inspired by the flavors of Delhi.",Cafe Delhi Heights
Unknown Category,"INDIAN RICE BOWLS, THALI'S & MEALS",Punjabi Kadhi Chawal,450,Veg,,"Tangy yogurt-based curry with soft pakoras, paired with rice. ",Cafe Delhi Heights
Unknown Category,"INDIAN RICE BOWLS, THALI'S & MEALS",Jammu Special Rajma Rice,450,Veg,BESTSELLER,"Comforting rajma (kidney beans) cooked with aromatic spices, served with rice.",Cafe Delhi Heights
Unknown Category,"INDIAN RICE BOWLS, THALI'S & MEALS",Yellow Dal Tadka Meal,450,Veg,,"A flavorful yellow lentil curry, served with jalape",Cafe Delhi Heights
Unknown Category,"INDIAN RICE BOWLS, THALI'S & MEALS",Dal Makhan Wala Meal,615,Veg,,"A rich, creamy black lentil curry, served with jalape",Cafe Delhi Heights
Unknown Category,"INDIAN RICE BOWLS, THALI'S & MEALS",Punjabi Palak Chole Meal,650,Veg,,"A spinach and chickpea curry, served with jalape",Cafe Delhi Heights
