category,subcategory,name,price,veg_status,tags,description,restaurant_name
Unknown Category,,Chicken Badami Shorba,223.0,Non-Veg,,Light bodied chicken soup with a hint of freshly chopped mint leaves finished with diced chicken and almond flakes.,Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Mutton Paya Shorba,267.0,Non-Veg,,"Robust, rejuvenating, overnight simmered goat trotter and millet broth with black pepper and fresh coriander.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Tamatar Dhaniya Shorba,207.0,Veg,,"Zesty vine ripe tomatoes and fresh coriander soup, mildly spiced and served with carom crisps.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Dahi Kebab,476.0,Veg,,"Velvety, cardamom and fresh coriander infused, hung youghurt kabab, deep fried.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Hara Bhara Kebab,477.0,Veg,,"Delicate, hung curd and cashew filled spinach patty, shallow fried.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Tandoori Mushroom,477.0,Veg,,"Button mushrooms marinated in fresh herbs and in-house tandoori masala, char-grilled in Tandoor",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Tandoori Malai Broccoli,543.0,Veg,,"""Cream - malai"", cashew butter and cardamom marinated broccoli, char-grilled in tandoor.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Bharwan Paneer Tikka,536.0,Veg,,"Cheddar cheese and bell pepper ""stuffed - bharwan"" fresh cottage cheese ""chunks - tikka"", marinated and char-grilled in tandoor.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Chicken Malai Tikka,557.0,Non-Veg,,"Melt in the mouth, tandoor cooked chicken tikka, marinated with ""cream - malai"", cashew butter and cardamom.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Chicken Trio,597.0,Non-Veg,,"An impeccable potpourri of tikkas - the classic Chicken Tikka, the delicate Malai Tikka and The Bhatti Kabab.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Chicken Tikka,557.0,Non-Veg,,"Boneless morsels of chicken ""tikka"", marinated overnight in yoghurt and our secret spice blend, chargrilled in tandoor.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,The Original Tandoori Chicken,487.0,Non-Veg,BESTSELLER,"Yoghurt and secret spice marinated, succulent, on the bone, tandoor roasted chicken. Created by Mokha Singh in the 1920's at Peshawar.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,The Original Chicken Pakora,483.0,Non-Veg,,"A scrumptious creation of Kundan Lal Jaggi at Daryaganj in 1947, crisp batter fried chicken scented with hand pounded carom and coriander seeds. We serve a boneless version of this classic.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Chicken Seekh Kebab,557.0,Non-Veg,,Lean Chicken morsels grounded with fresh herbs and char-grilled in Tandoor,Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Bhatti Chicken,557.0,Non-Veg,,"Chicken thighs, steeped in a distinctive spicy yoghurt and mustard oil marinade, char-grilled in Tandoor",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Mutton Seekh Kebab,667.0,Non-Veg,,"Zestful and rugged fresh green chilli and secret spice infused, mutton mince kebab of the finest quality, popularised by Kundan Lal Jaggi at Daryaganj in 1947.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Amritsari Mutton Chop,697.0,Non-Veg,,"A delicacy from Amritsar, premium grade mutton mince patty spiked with hand pounded coriander seeds, dry chilli and garam masala, pan-fried and embellished with toasted garlic flakes.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Sole Fish Tikka,697.0,Non-Veg,,"Boneless ""chunks - tikka"" of River Sole fish, marinated with lemon juice, mustard and carom seeds, gently cooked on coal embers.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Amritsari Fish Pakora,697.0,Non-Veg,,,Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Charrey Aloo,357.0,Veg,,"A sumptuous dish that is made in every home, our rendition is, ""bullet - charrey"" or baby potatoes with mustard, cumin and fennel.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Kadhai Mushroom,556.0,Veg,,"Prepared in the ""Indian wok - kadhai"", fresh mushrooms stir-fried with bell pepper juliennes, tomatoes, spring onion, crushed toasted coriander seeds and tomato gravy.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Malai Kofta,556.0,Veg,,"A celebratory dish, cashew and vegetable stuffed cottage cheese dumplings in a titillating saffron-cream gravy.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Channa Masala,397.0,Veg,,"A staple from Punjab, chickpeas gently simmered with whole spices and then finished with our secret spice.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
Unknown Category,,Saag Paneer,556.0,Veg,,"Pan-fried cottage cheese with creamy ""spinach puree - saag"", garlic and whole spices, tempered with coriander seeds and red chilli.",Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani
