category,subcategory,name,price,veg_status,tags,description,restaurant_name
Unknown Category,,Double Chicken Roll,168.57,Non-Veg,,"Double fun with double chicken strip filling, layerful parantha onions and two spicy sauce [1 unit of Double Chicken Roll, Serves 1]",KFC
Unknown Category,,Classic Chicken Roll,119.05,Non-Veg,,"Street style roll with single chicken strip, onions and two spicy sauce [1 unit of Classic Chicken Roll]",KFC
Unknown Category,,Double Chicken Roll Meal for 1,379.05,Non-Veg,,"Save Rs. 24 with a Double Chicken Roll with servings of 1 Large Fries, 2 delish dips and 1 Pepsi PET 475ml [1 unit of Double Chicken Roll, Serves 1]",KFC
Unknown Category,,Classic Chicken Roll Meal for 2,479.05,Non-Veg,,"2 units of The classic KFC Chicken Roll with servings of 1 Large Fries, 2 delish dips and 1 Pepsi PET 475ml [2 units of Classic Chicken Roll, Serves 2]",KFC
Unknown Category,,Thai Spicy Chicken Roll,139.0,Non-Veg,,"Fresh burst of Thai flavours and sauces in a flaky paratha, chicken strips and vegetables",KFC
Unknown Category,,Indian Tandoori Chicken Roll,139.0,Non-Veg,,"Flavorful roll made with flaky lachha paratha, perfectly fried chicken strips in rich and creamy tandoori sauce",KFC
Unknown Category,,Korean Tangy Chicken Roll,139.0,Non-Veg,,"Delicious new roll featuring tangy Korean kimchi, vegetables and crunchy chicken strips",KFC
Unknown Category,,Indian Spicy Veg Roll,119.0,Veg,,Veg special spicy indian sauce and veggie roll,KFC
Unknown Category,,Korean & Thai Roll Chicken Meal,569.0,Non-Veg,,"Rs. 114 Off on Korean Tangy Roll & Thai Spicy Roll, Large Popcorn, Large Fries & Pepsi PET 475ml",KFC
Unknown Category,,Indian Tandoori Roll Chicken Meal,419.0,Non-Veg,,"Save Rs. 75 on Indian Tandoori Roll, Classic Zinger Burger, Medium Fries & Pepsi PET 475ml",KFC
Unknown Category,,Korean Tangy Roll & Popcorn Chicken Meal,319.0,Non-Veg,,"Save Rs. 56 with Korean Tangy Chicken Roll, Medium Popcorn and Pepsi PET 475ml",KFC
Unknown Category,,Thai Spicy Roll & Zinger Chicken Meal,419.0,Non-Veg,,"Save Rs. 75 with Thai Spicy Roll with Classic Zinger Burger, Medium Fries and Pepsi PET 475ml",KFC
Unknown Category,,American Roll & Popcorn Chicken Meal,299.0,Non-Veg,,"Save Rs. 56 with American Nashville Chicken Roll, Medium Popcorn and Pepsi PET 475ml",KFC
Unknown Category,,Thai Spicy Roll & Popcorn Chicken Meal,319.0,Non-Veg,,"Save Rs. 56 with Thai Spicy Chicken Roll, Medium Popcorn and Pepsi PET 475ml",KFC
Unknown Category,,Korean Tangy Roll & Zinger Chicken Meal,419.0,Non-Veg,,"Save Rs. 75 with Korean Tangy Roll with Classic Zinger Burger, Medium Fries and Pepsi PET 475ml",KFC
Unknown Category,,Double Down Burger & Popcorn Meal,429.0,Non-Veg,,"Best of all worlds with 1 Double Down- all chicken no bun Burger, Regular Popcorn & Pepsi 475ml [Serves 1]",KFC
Unknown Category,,Double Down Burger & Pepsi,316.0,Non-Veg,,All chicken no bun burger with 2 delicious sauces & veggies served with Pepsi PET 475ml [Serves 1],KFC
Unknown Category,,2 Double Down Burgers,499.0,Non-Veg,,"Why pick one, when you can have 2 Double Down- all chicken no bun Burgers at a deal price [serves 2]",KFC
Unknown Category,,2 Double Down Burgers & Fries Meal,679.0,Non-Veg,,Save with Deal Meal of 2 units of Double Down- all chicken no bun Burgers with Large Fries & Pepsi PET 475ml [Serves 2],KFC
Unknown Category,,Double Down Burger,259.0,Non-Veg,,"It's back! All chicken no bun burger, with 2 delicious sauces & veggies [Serves 1]",KFC
Unknown Category,,All Chicken Box,399.0,Non-Veg,,"Save Rs. 107 with special Chicken Box of 2 Pc Hot & Crispy, 2 Pc Peri Peri Strips, Medium Fries & a Pepsi PET 475ml [Serves 1-2]",KFC
Unknown Category,,Rice Box Meal,399.0,Non-Veg,,"Save Rs. 106 with special Rice Box Meal of a Popcorn Rice Bowl, 2 Pc Peri Peri Strips, Medium Fries & a Pepsi PET 475ml [Serves 1-2]",KFC
Unknown Category,,Roll Meal Box,399.0,Non-Veg,,"Save Rs. 95 with special Roll Box Meal of a Classic Chicken Roll , 2 Pc Hot Wings, 2 Pc Peri Peri Strips, Medium Fries & a Pepsi PET 475ml [Serves 1-2]",KFC
Unknown Category,,Veg Box Meal,399.0,Veg,,"Enjoy special Veg Box Meal with savings of Rs. 101 on Veg Zinger Burger, 2 Pc Veg patty, Medium Fries & a Pepsi PET 475ml [Serves 1]",KFC
Unknown Category,,Paneer Zinger Burger,208.57,Veg,,It's Back! Crunchy Indian Paneer Patty Burger with tangy sauce and Veggies,KFC
Unknown Category,,Spicy Zinger Burger and Popcorn Meal,439.05,Non-Veg,,Caribbean Spicy Zinger Burger with Medium Popcorn and Pepsi PET 475ml at a deal price,KFC
Unknown Category,,Spicy Zinger Burger,219.05,Non-Veg,,"New Caribbean Spicy Zinger Burger with Spicy Bun & Spicy chilli sauce with Zinger Fillet, Lettuce, Onion and Tomatoes",KFC
Unknown Category,,Spicy Zinger Burger and Chicken Meal,379.05,Non-Veg,,New Caribbean Spicy Zinger Burger with 1 Pc Hot & Crispy and Pepsi PET 475ml at a deal price,KFC
Unknown Category,,Zinger Pro Burger & Popcorn Meal,469.0,Non-Veg,,New Zinger Pro premium Burger with Medium Popcorn and Pepsi PET 475ml at a deal price,KFC
Unknown Category,,Zinger Pro Burger,249.0,Non-Veg,,"New premium zinger with crunchy zinger fillet,cheese,lettuce,tomatoes,sauce in sesame bun!",KFC
Unknown Category,,Mexican Zinger Pro Pepsi Bottle Combo,329.0,Non-Veg,,Get Pepsi 330ml Reusable Bottle with Mexican Zinger Pro Burger,KFC
Unknown Category,,Zinger Pro Burger & Chicken Meal,409.0,Non-Veg,,New Zinger Pro premium Burger with 1 Pc Hot & Crispy and Pepsi PET 475ml at a deal price,KFC
Unknown Category,,Chicken Burger Buddy Meal,528.57,Non-Veg,,Save Rs. 28 & Share 2 American Classic Chicken Zinger Burgers & a Medium Chicken Popcorn in this delightful combo for 2,KFC
Unknown Category,,Mixed Chicken Zinger Burger Doubles,368.57,Non-Veg,BESTSELLER,Save Rs.41 on Best-seller combo of classic chicken Zinger & Tandoori zinger burgers,KFC
Unknown Category,,Chicken Zinger Burger - Classic with Cheese,224.05,Non-Veg,BESTSELLER,"Signature burger with a crunchy chicken fillet, cheese slice, veggies & a delicious mayo sauce",KFC
Unknown Category,,Chicken Zinger Burger - Tandoori with Cheese,233.57,Non-Veg,,Chicken zinger with delicious tandoori sauce & cheese slice,KFC
Unknown Category,,American Classic Zinger Mojito Combo,297.23,Non-Veg,,Get All New Mojito Reusable Bottle with American Classic Chicken Zinger Burger,KFC
Unknown Category,,Veg Zinger Burger with Cheese,213.57,Veg,,"Signature veg burger with crispy patties, cheese slice, veggies & a tangy sauce",KFC
Unknown Category,,Chicken Zinger Burger - Classic,199.05,Non-Veg,BESTSELLER,"Signature burger made with a crunchy chicken fillet, veggies & a delicious mayo sauce",KFC
Unknown Category,,Veg Zinger Burger,188.57,Veg,,"Signature veg burger with crispy patties, veggies & a tangy sauce",KFC
Unknown Category,,Chicken Zinger Burger - Tandoori,208.57,Non-Veg,,Chicken zinger with a delicious tandoori sauce,KFC
Unknown Category,,2 X Veg Krisper Burgers,188.57,Veg,,2 Delicious veg value burgers - at a deal price,KFC
Unknown Category,,2 Classic Chicken Krisper Burgers,289.57,Non-Veg,,2 Units of delicious chicken value burgers featuring delicious sauce & 2 chicken strips,KFC
Unknown Category,,Cricket Crunch Meal,449.0,Non-Veg,,"Crunchy Savings of Rs. 75 & Enjoy 2pc Hot & Crispy Chicken, 4 chicken wings , 2 dips & a chilled Pepsi Black Can 300ml [serves 1-2]",KFC
Unknown Category,,Dream Team Meal,599.0,Non-Veg,,"Enjoy Special 11 meal by saving Rs. 164 on 3 Pc Chicken Leg Piece, 4 Pc Peri peri Strips & 4 Pc Hot Wings [Serves 2-4]",KFC
Unknown Category,,Clean Bowled Combo,666.0,Non-Veg,,Hitter huge savings of Rs. 132 on 5 Pc Chicken Leg Piece & 5 Pc Hot Wings [Serves 3-4],KFC
Unknown Category,,Super Over Meal,329.0,Non-Veg,,"Favorite combo of Classic Chicken Zinger Burger, Medium French Fries & a chilled Pepsi Black Can 300ml with savings of Rs. 26 [Serves 1]",KFC
Unknown Category,,Super 6s Chicken Bucket,799.0,Non-Veg,,Sixer Savings of Rs. 249 off on Special Bucket of 6 Pc Chicken Leg Piece & 6 Pc Peri Peri Chicken Strips [Serves 2],KFC
Unknown Category,,Rolls Super Kings,399.0,Non-Veg,,"Super Savings of Rs. 75 on 2 Classic chicken Roll, 4 Pc Hot Wings and a Pepsi PET 475ml [Serves 1-2]",KFC
Unknown Category,,Green Pitch Meal,499.0,Veg,,"Veg Lovers now save Rs. 252 on Veg meal of 2 Veg Zinger Burgers, 2 Veg Longers, Large Fries and a Pepsi PET 475ml [Serves 2-3]",KFC
Unknown Category,,LBW Chicken Bucket,899.0,Non-Veg,,Leg Piece before any wicket! Deal savings of Rs. 308 on 10 Pc Chicken Leg Piece & a Pepsi PET 475 ml [Serves 3-5],KFC
Unknown Category,,Peri Peri Chicken 5 Leg Piece Meal,659.05,Non-Veg,,"Leg before any wicket! Save Rs. 131 on 5 Spicy Peri Peri Leg Pieces, 2 Dips (20gm each), 1 Med Fries & a Pepsi PET 475ml [serves 2]",KFC
Unknown Category,,Peri Peri 10 Pc Chicken Strips & 2 Dips,519.05,Non-Veg,,Howzatt Deal!! Save Rs. 122 with the indulging 10 Piece Peri Peri Boneless Strips and 2 Dips [Serves 2-3],KFC
Unknown Category,,Peri Peri Chicken 5 Leg Piece Bucket,528.57,Non-Veg,,Save Rs 104 on 5 Spicy Peri Peri Leg Pieces,KFC
Unknown Category,,5 Leg Pc & 2 Dips Pepsi Bottle Combo,599.0,Non-Veg,,Get Pepsi 330ml Reusable Bottle with 5 Pc Peri Per Chicken Leg Piece and 2 Dips (20gms each) [serves 1-2],KFC
Unknown Category,,Peri Peri Chicken 10 Leg Pc & 4 Dips,968.57,Non-Veg,,Save Rs. 334 on 10 Spicy Peri Peri Leg Pieces & 4 Dips (20gm each) [serves 3-4],KFC
Unknown Category,,Peri Peri chicken strips - 6 Pc,308.57,Non-Veg,BESTSELLER,Save 13% with on savouring 6 Spicy Peri Peri chicken boneless strips [serves 2],KFC
Unknown Category,,6 Pc Strips & Pepsi Bottle Combo,379.0,Non-Veg,,Get Pepsi 330ml Reusable Bottle with 6 Pc Spicy Peri Peri Strips [serves 1-2],KFC
Unknown Category,,Chicken Bucket for Two,599.05,Non-Veg,,"Flat Rs. 115 off with this variety combo of 2pc Hot & Crispy Chicken, 2 pc Smoky Red Chicken & a Large Popcorn [serves 2-3]",KFC
Unknown Category,,Classic Chicken Krisper Burger Combo,580.0,Non-Veg,,"Deal combo of 2 chicken krispers burgers, 2 pc Hot & Crispy, 2 dips (20gm each) & a chilled Pepsi PET 475 ml [Serves 1-2]",KFC
Unknown Category,,Chicken Mingles Bucket Meal,519.05,Non-Veg,,"Save Rs. 43 on this crowd favorite combo of 4 Hot Wings, 2 Chicken Peri Peri Boneless Strips, a Reg Popcorn, medium fries & a chilled Pepsi PET 475ml [serves 2 ]",KFC
Unknown Category,,4 Pc Hot & Crispy Pepsi Bottle Combo,519.0,Non-Veg,,Get Pepsi 330ml Reusable Bottle with 4 Pc Chicken Hot & Crispy,KFC
Unknown Category,,Chicken Solo Feast,399.05,Non-Veg,,"Treat yourself with 1 Hot & Crispy chicken, 2 chicken Strips, 2 chicken Wings, 1 Buttered Bun, 1 Dip & Pepsi PET [serves 1]",KFC
Unknown Category,,Chicken Mingles Bucket,399.05,Non-Veg,,"Mingle with 4 Chicken Hot Wings, 2 Chicken peri peri boneless strips & a Regular Popcorn at a deal price [serves 1-2]",KFC
Unknown Category,,Chicken & French Fries Bucket,299.05,Non-Veg,,Crowd-favorite combo of 2pc Hot & Crispy Chicken with Medium French Fries,KFC
Unknown Category,,Classic Roll Mojito Meal,342.87,Non-Veg,,Get All New Mojito Reusable 330ml Bottle with Large Fries and Classic Chicken Roll,KFC
Unknown Category,,Chicken Popcorn & French Fries Bucket,328.57,Non-Veg,,Large Chicken Popcorn with Med French Fries - at a deal price,KFC
Unknown Category,,2 X Veg Krispers Burger Meal,299.05,Veg,,"Save Rs. 39 with 2 veg value burgers, crispy Medium French Fries & 2 delicious Dips at a deal price! [Serves 1-2]",KFC
Unknown Category,,Classic Zinger Pepsi Bottle Combo,279.0,Non-Veg,,Get Pepsi 330ml reusable bottle with Classic chicken Zinger Burger,KFC
Unknown Category,,All in One Chicken Bucket,568.57,Non-Veg,,"Save 21% with variety bucket of 1 Leg Pc, 1 Hot & Crispy, 2 Wings, 2 Strips, 1 Zinger Fillet, 3 Dips [20gm each] & 1 Pepsi 475 ml [Serves 2-3]",KFC
Unknown Category,,Ultimate Savings Chicken Bucket,728.57,Non-Veg,BESTSELLER,"Savings of 32% on signature bucket of 4pc Hot & crispy chicken, 6 Pc Wings, 4 Chicken Peri Peri Boneless strips, 2 Dips (20 gms each) & a Pepsi PET 475ml [serves 2-3 ]",KFC
Unknown Category,,Stay Home Chicken Bucket,819.05,Non-Veg,,"Save Rs. 232 & enjoy 4pc Hot & Crispy Chicken, 4 Hot Wings, 6 chicken peri peri boneless strips & 2 delicious dips (20gm each) [serves 3]",KFC
