category,subcategory,name,price,veg_status,tags,description,restaurant_name
Unknown Category,NEWLY LAUNCHED VEG,Naked Veggie Taco,229.0,Veg,,"Introducing the Naked Veggie Taco – a fresh twist on a classic! With a vibrant taco shell made entirely of vegetables, it’s a burst of flavor and crunch in every bite. Filled with spicy harissa sauce, tangy hot red salsa, zesty pico de gallo, and crisp iceberg lettuce, this taco is perfect for those who want to indulge in something wholesome yet bold. Enjoy a taco experience like never before, where the shell is as good as the filling!",Taco Bell
Unknown Category,NEWLY LAUNCHED VEG,Green Salsa Avocado Sauce,3.81,Veg,,"A blend of creamy avocado, green chilli, jalapeno, tomatoes, cucumber, and garlic. Fresh, spicy, and utterly delicious.",Taco Bell
Unknown Category,NEWLY LAUNCHED VEG,Ultimate Cheese Crunchwrap – Veg,275.0,Veg,,"Unique star shaped wram wrap loaded with juicy Mexican paneer marinated in flavourful spices & topped with fiesta salsa, spicy lava sauce and creamy nacho cheese.",Taco Bell
Unknown Category,NEWLY LAUNCHED NON VEG,Ultimate Cheese Crunchwrap – Non-Veg,295.0,Non-Veg,BESTSELLER,"Unique star shaped wram wrap loaded with juicy chicken nuggets marinated in flavourful spices & topped with fiesta salsa, spicy lava sauce and creamy nacho cheese.",Taco Bell
Unknown Category,NEWLY LAUNCHED COMBOS,Naked Veggie Taco Meal,369.0,Veg,,"Meal includes 1 Naked Veggie Taco ,1 Seasoned Fries and 1 Beverage of choice in reusable cup.",Taco Bell
Unknown Category,NEWLY LAUNCHED COMBOS,Ultimate Cheese Crunchwrap Meal – Non-Veg,435.0,Non-Veg,,"Unique star shaped wram wrap loaded with juicy chicken nuggets marinated in flavourful spices & topped with fiesta salsa, spicy lava sauce and creamy nacho cheese.",Taco Bell
Unknown Category,NEWLY LAUNCHED COMBOS,Green Salsa Avocado (10 pouch Combo),36.0,Veg,,"(Save 10%) Combo offers 10 sachets of Green Salsa Avocado made of real Avocados, tangy salsa and spicy Jalapenos. This droolworthy sauce will leave you craving for more.",Taco Bell
Unknown Category,NEWLY LAUNCHED COMBOS,Ultimate Cheese Crunchwrap Meal – Veg,415.0,Veg,,"Unique star shaped wram wrap loaded with juicy Mexican paneer marinated in flavourful spices & topped with fiesta salsa, spicy lava sauce and creamy nacho cheese. Meal comes with Seasoned Fries and Pepsi",Taco Bell
Unknown Category,NEWLY LAUNCHED COMBOS,Cheesy Lava Taco (BurgerKiller) Veg Meal Overload,399.0,Veg,,"Cheesy Lava Taco Meal Veg Overload: All-new Cheesy Lava Taco, a culinary innovation that combines the Crispy Chalupa Taco and classic Corn Shell Taco packed with spicy Lava Sauce, sour creamy dressing , tangy Smokey Pepper Sauce and an indulgent Cheesy loaded Veg patty. Meal includes 1 Cheesy Lava Taco Veg overload, 1 Fries, 1 Pepsi and Free Nachos.",Taco Bell
Unknown Category,NEWLY LAUNCHED COMBOS,Cheesy Lava Taco (BurgerKiller) Non-Veg Meal Overload,409.0,Non-Veg,,"All-new Cheesy Lava Taco, a culinary innovation that combines the Crispy Chalupa Taco and classic Corn Shell Taco packed with spicy Lava Sauce, sour creamy dressing , tangy Smokey Pepper Sauce and an indulgent Cheesy loaded chicken patty. Meal includes 1 Cheesy Lava Taco Non Veg overload, one fries, 1 Pepsi and Free Nachos.",Taco Bell
