category,subcategory,name,price,veg_status,tags,description,restaurant_name
Unknown Category,,Cheese Garlic Bread,199,Veg,,Garlic-infused bread topped with mozzarella cheese,Xero Courtyard
Unknown Category,,Classic Fries,199,Veg,,Classic salted and seasoned fries with trio dip,Xero Courtyard
Unknown Category,,Do It Your Way Fries,249,Veg,,"Choose your seasoning: peri-peri, tandoori, smokey garlic, pizza style, liquid cheese, mushroom, Xero hot sauce, jalapeno",Xero Courtyard
Unknown Category,,Kadak Rumali Roti,149,Veg,,"Kaddak roti topped with chopped onion, tomato, and peri-peri seasoning",Xero Courtyard
Unknown Category,,Masala Papad,179,Veg,,"Roasted papad with chopped onion, tomato, and seasoning",Xero Courtyard
Unknown Category,,Mini Sandwiches,199,Veg,,"Creamy and crunchy sandwich stuffed with mixture of vegetables, seasoning, and eggless mayo",Xero Courtyard
Unknown Category,,Peanut Masala,199,Veg,,"Peanuts mixed with chopped onion, tomato, coriander, and seasoning",Xero Courtyard
Unknown Category,VEG SOUPS,Basil Tomato Soup,199,Veg,,,Xero Courtyard
Unknown Category,VEG SOUPS,Cream Of Mushroom,199,Veg,,,Xero Courtyard
Unknown Category,VEG SOUPS,Veg Hot & Sour Soup,199,Veg,,,Xero Courtyard
Unknown Category,VEG SOUPS,Veg Lemon Coriander Soup,199,Veg,,,Xero Courtyard
Unknown Category,VEG SOUPS,Veg Manchow Soup,199,Veg,,,Xero Courtyard
Unknown Category,VEG SOUPS,Veg Sweet Corn Soup,199,Veg,,,Xero Courtyard
Unknown Category,VEG SOUPS,Veg Tom Yum Soup,199,Veg,,,Xero Courtyard
Unknown Category,NON-VEG SOUPS,Cream Of Chicken,229,Non-Veg,,,Xero Courtyard
Unknown Category,NON-VEG SOUPS,Non-Veg Hot & Sour Soup,229,Non-Veg,,,Xero Courtyard
Unknown Category,NON-VEG SOUPS,Non-Veg Lemon Coriander Soup,229,Non-Veg,,,Xero Courtyard
Unknown Category,NON-VEG SOUPS,Non-Veg Manchow Soup,229,Non-Veg,,,Xero Courtyard
Unknown Category,NON-VEG SOUPS,Non-Veg Sweet Corn Soup,229,Non-Veg,,,Xero Courtyard
Unknown Category,NON-VEG SOUPS,Non-Veg Tom Yum Soup,229,Non-Veg,,,Xero Courtyard
Unknown Category,NON-VEG SOUPS,Smoke Chicken Soup,229,Non-Veg,,,Xero Courtyard
Unknown Category,VEG APPETIZERS,Chilli Paneer,399,Veg,,"Marinated cottage cheese cubes, fried and tossed with onion, bell pepper, fresh red chili, and fresh tomato chili sauce",Xero Courtyard
Unknown Category,VEG APPETIZERS,Chilly Mushroom,399,Veg,,"With fresh cream and aromatic spices, roasted in a clay oven",Xero Courtyard
Unknown Category,VEG APPETIZERS,Cigar Rolls,399,Veg,,Succulent mixture of sweet corn with cheese and herbs wrapped into cigar-shaped rolls,Xero Courtyard
Unknown Category,VEG APPETIZERS,Crispy Corn Salt & Pepper,349,Veg,,"Crispy fried corn tossed with onion, bell pepper, fresh red chili, burnt garlic, and Chinese wine",Xero Courtyard
